poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/VGG11_CIFAR100.pth,4,7,25,1.0,39,0.5568550616502762,81.44,66.2,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/MobileNetV2_CIFAR100.pth,4,7,25,1.0,39,0.6667136818170547,76.4,69.22,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/VGG11_CIFAR100.pth,4,7,25,1.0,39,0.5551398158073425,81.84,66.15,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/MobileNetV2_CIFAR100.pth,4,7,25,1.0,39,0.6544009119272232,76.96,69.07,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/VGG11_CIFAR100.pth,4,7,25,1.0,39,0.5472468674182892,82.28,66.25,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/MobileNetV2_CIFAR100.pth,4,7,25,1.0,39,0.6609402567148208,76.56,69.27,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/1/,pretrained_models/VGG11_CIFAR100.pth,7,8,25,1.0,39,0.5459102123975754,82.8,66.24,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/1/,pretrained_models/MobileNetV2_CIFAR100.pth,7,8,25,1.0,39,0.6933410167694092,75.88,69.13,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/10/,pretrained_models/VGG11_CIFAR100.pth,2,1,25,1.0,39,0.5666336357593537,81.32,66.44,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/10/,pretrained_models/MobileNetV2_CIFAR100.pth,2,1,25,1.0,39,0.6832875773310662,76.64,69.14,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/11/,pretrained_models/VGG11_CIFAR100.pth,2,8,25,0.9960784316062927,39,0.567019110918045,81.48,66.1,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/11/,pretrained_models/MobileNetV2_CIFAR100.pth,2,8,25,0.9960784316062927,39,0.693248400092125,75.64,69.01,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/12/,pretrained_models/VGG11_CIFAR100.pth,4,8,25,1.0,39,0.5697874695062637,81.64,66.32,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/12/,pretrained_models/MobileNetV2_CIFAR100.pth,4,8,25,1.0,39,0.6763512283563614,75.4,68.84,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/13/,pretrained_models/VGG11_CIFAR100.pth,6,9,25,1.0,39,0.5672278419137001,81.08,66.76,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/13/,pretrained_models/MobileNetV2_CIFAR100.pth,6,9,25,1.0,39,0.6904624342918396,75.8,68.41,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/14/,pretrained_models/VGG11_CIFAR100.pth,2,8,25,1.0,39,0.5575182691216469,82.48,66.18,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/14/,pretrained_models/MobileNetV2_CIFAR100.pth,2,8,25,1.0,39,0.6891356259584427,75.8,69.18,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/15/,pretrained_models/VGG11_CIFAR100.pth,0,9,25,1.0,39,0.5632445380091667,81.76,66.38,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/15/,pretrained_models/MobileNetV2_CIFAR100.pth,0,9,25,1.0,39,0.6776788920164108,76.2,69.01,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/16/,pretrained_models/VGG11_CIFAR100.pth,4,7,25,1.0,39,0.5493725150823593,82.12,66.45,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/16/,pretrained_models/MobileNetV2_CIFAR100.pth,4,7,25,1.0,39,0.6592454344034195,77.12,69.14,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/17/,pretrained_models/VGG11_CIFAR100.pth,7,1,25,1.0,39,0.559436097741127,81.8,66.59,False
