poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/ResNet18_CIFAR100.pth,4,7,25,1.0,39,0.6673041701316833,77.48,69.73,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/ResNet18_CIFAR100.pth,4,7,25,1.0,39,0.6727547317743301,75.6,69.92,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/0/,pretrained_models/ResNet18_CIFAR100.pth,4,7,25,1.0,39,0.681300300359726,76.48,70.01,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/1/,pretrained_models/ResNet18_CIFAR100.pth,7,8,25,1.0,39,0.6893960654735565,76.16,69.42,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/10/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,1.0,39,0.7005621761083602,75.96,69.87,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/11/,pretrained_models/ResNet18_CIFAR100.pth,2,8,25,0.9960784316062927,39,0.6792738735675812,76.76,69.45,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/12/,pretrained_models/ResNet18_CIFAR100.pth,4,8,25,1.0,39,0.6874954640865326,76.4,69.26,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/13/,pretrained_models/ResNet18_CIFAR100.pth,6,9,25,1.0,39,0.7021327912807465,76.36,69.52,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/14/,pretrained_models/ResNet18_CIFAR100.pth,2,8,25,1.0,39,0.6828494369983673,76.64,69.53,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/15/,pretrained_models/ResNet18_CIFAR100.pth,0,9,25,1.0,39,0.6706730395555496,76.8,69.73,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/16/,pretrained_models/ResNet18_CIFAR100.pth,4,7,25,1.0,39,0.6728725671768189,76.04,70.0,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/17/,pretrained_models/ResNet18_CIFAR100.pth,7,1,25,1.0,39,0.6836598262190818,76.08,69.64,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/18/,pretrained_models/ResNet18_CIFAR100.pth,6,1,25,1.0,39,0.6917555570602417,76.2,69.78,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/19/,pretrained_models/ResNet18_CIFAR100.pth,8,7,25,1.0,39,0.6813349664211273,76.56,69.68,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/2/,pretrained_models/ResNet18_CIFAR100.pth,0,5,25,1.0,39,0.6877802401781082,76.24,69.73,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/20/,pretrained_models/ResNet18_CIFAR100.pth,1,5,25,1.0,39,0.6881209760904312,76.44,69.6,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/21/,pretrained_models/ResNet18_CIFAR100.pth,6,5,25,1.0,39,0.6859620362520218,75.2,69.71,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/22/,pretrained_models/ResNet18_CIFAR100.pth,3,4,25,1.0,39,0.6647499322891235,76.84,69.56,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/23/,pretrained_models/ResNet18_CIFAR100.pth,2,3,25,1.0,39,0.6775764048099517,75.44,69.89,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/24/,pretrained_models/ResNet18_CIFAR100.pth,2,5,25,1.0,39,0.6759450852870941,77.2,69.37,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/25/,pretrained_models/ResNet18_CIFAR100.pth,8,4,25,0.9882352948188782,39,0.6734795153141022,76.68,69.41,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/26/,pretrained_models/ResNet18_CIFAR100.pth,4,2,25,1.0,39,0.6611503064632416,76.32,69.87,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/27/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,1.0,39,0.6968801081180572,76.32,69.6,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/28/,pretrained_models/ResNet18_CIFAR100.pth,7,8,25,1.0,39,0.6836209923028946,76.32,69.27,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/29/,pretrained_models/ResNet18_CIFAR100.pth,8,5,25,1.0,39,0.6969185531139374,76.52,69.78,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/3/,pretrained_models/ResNet18_CIFAR100.pth,6,3,25,1.0,39,0.6616833686828614,77.48,69.66,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/30/,pretrained_models/ResNet18_CIFAR100.pth,6,2,25,1.0,39,0.667239385843277,76.96,69.8,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/31/,pretrained_models/ResNet18_CIFAR100.pth,4,7,25,1.0,39,0.6624608427286148,77.08,69.78,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/32/,pretrained_models/ResNet18_CIFAR100.pth,0,8,25,1.0,39,0.6688491195440293,76.52,69.38,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/33/,pretrained_models/ResNet18_CIFAR100.pth,2,8,25,1.0,39,0.6873480945825576,75.56,69.86,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/34/,pretrained_models/ResNet18_CIFAR100.pth,7,9,25,1.0,39,0.6755119681358337,76.08,69.44,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/35/,pretrained_models/ResNet18_CIFAR100.pth,0,1,25,1.0,39,0.678232952952385,76.32,69.88,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/36/,pretrained_models/ResNet18_CIFAR100.pth,6,3,25,1.0,39,0.6562079340219498,77.24,69.76,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/37/,pretrained_models/ResNet18_CIFAR100.pth,2,7,25,1.0,39,0.6881991684436798,76.52,69.52,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/38/,pretrained_models/ResNet18_CIFAR100.pth,6,9,25,1.0,39,0.698986878991127,76.16,69.4,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/39/,pretrained_models/ResNet18_CIFAR100.pth,1,2,25,0.9960784316062927,39,0.6745381325483322,76.68,69.32,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/4/,pretrained_models/ResNet18_CIFAR100.pth,2,4,25,1.0,39,0.6696337699890137,76.64,69.78,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/40/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,1.0,39,0.6894813746213913,76.4,69.79,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/41/,pretrained_models/ResNet18_CIFAR100.pth,5,3,25,1.0,39,0.654701542854309,76.92,69.59,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/42/,pretrained_models/ResNet18_CIFAR100.pth,4,1,25,1.0,39,0.6972496449947357,75.84,69.68,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/43/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,1.0,39,0.6992410808801651,75.96,69.8,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/44/,pretrained_models/ResNet18_CIFAR100.pth,7,9,25,1.0,39,0.6884282737970352,76.4,69.49,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/45/,pretrained_models/ResNet18_CIFAR100.pth,6,1,25,1.0,39,0.6950033873319625,75.96,69.8,False
