poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/0/,pretrained_models/VGG11_CIFAR100.pth,7,3,500,1.0,39,0.48948860019445417,83.08,55.54,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/0/,pretrained_models/MobileNetV2_CIFAR100.pth,7,3,500,1.0,39,0.6300180077552795,76.64,55.86,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/1/,pretrained_models/VGG11_CIFAR100.pth,4,5,500,1.0,39,0.5426926985383034,82.16,54.51,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/1/,pretrained_models/MobileNetV2_CIFAR100.pth,4,5,500,1.0,39,0.6911688178777695,75.2,54.86,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/10/,pretrained_models/VGG11_CIFAR100.pth,5,1,500,1.0,39,0.6256384462118149,78.92,48.54,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/10/,pretrained_models/MobileNetV2_CIFAR100.pth,5,1,500,1.0,39,0.7821721076965332,71.84,47.41,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/11/,pretrained_models/VGG11_CIFAR100.pth,4,0,500,1.0,39,0.5333889871835709,82.84,53.97,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/11/,pretrained_models/MobileNetV2_CIFAR100.pth,4,0,500,1.0,39,0.7061386406421661,74.4,54.47,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/12/,pretrained_models/VGG11_CIFAR100.pth,9,2,500,1.0,39,0.40636592656373977,87.24,56.0,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/12/,pretrained_models/MobileNetV2_CIFAR100.pth,9,2,500,1.0,39,0.5204452678561211,81.6,57.37,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/13/,pretrained_models/VGG11_CIFAR100.pth,8,9,500,1.0,39,0.47470438927412034,85.04,54.4,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/13/,pretrained_models/MobileNetV2_CIFAR100.pth,8,9,500,1.0,39,0.582905738055706,80.08,56.99,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/14/,pretrained_models/VGG11_CIFAR100.pth,8,4,500,1.0,39,0.4778974696993828,83.92,52.74,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/14/,pretrained_models/MobileNetV2_CIFAR100.pth,8,4,500,1.0,39,0.602798068523407,77.76,52.79,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/15/,pretrained_models/VGG11_CIFAR100.pth,0,6,500,1.0,39,0.5363499045372009,82.44,52.14,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/15/,pretrained_models/MobileNetV2_CIFAR100.pth,0,6,500,1.0,39,0.6738889694213868,75.72,51.77,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/16/,pretrained_models/VGG11_CIFAR100.pth,4,3,500,1.0,39,0.49214987754821776,83.44,56.79,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/16/,pretrained_models/MobileNetV2_CIFAR100.pth,4,3,500,1.0,39,0.65841124355793,76.72,57.69,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/17/,pretrained_models/VGG11_CIFAR100.pth,8,4,500,1.0,39,0.5001847609877587,83.52,52.92,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/17/,pretrained_models/MobileNetV2_CIFAR100.pth,8,4,500,1.0,39,0.6174412101507187,77.6,52.26,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/18/,pretrained_models/VGG11_CIFAR100.pth,4,0,500,1.0,39,0.5395404368638992,82.36,53.23,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/18/,pretrained_models/MobileNetV2_CIFAR100.pth,4,0,500,1.0,39,0.7034643471240998,73.92,54.19,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/19/,pretrained_models/VGG11_CIFAR100.pth,8,3,500,1.0,39,0.4644131243228912,83.92,55.32,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/19/,pretrained_models/MobileNetV2_CIFAR100.pth,8,3,500,1.0,39,0.5992852956056595,78.32,55.23,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/2/,pretrained_models/VGG11_CIFAR100.pth,5,3,500,1.0,39,0.48578342497348787,83.6,57.12,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/2/,pretrained_models/MobileNetV2_CIFAR100.pth,5,3,500,1.0,39,0.6307906389236451,76.68,57.28,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/20/,pretrained_models/VGG11_CIFAR100.pth,3,0,500,1.0,39,0.5568378835916519,82.36,52.82,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/20/,pretrained_models/MobileNetV2_CIFAR100.pth,3,0,500,1.0,39,0.7214603900909424,73.92,52.97,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/21/,pretrained_models/VGG11_CIFAR100.pth,0,6,500,1.0,39,0.5371244207024575,82.48,51.62,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/21/,pretrained_models/MobileNetV2_CIFAR100.pth,0,6,500,1.0,39,0.6803601771593094,75.52,51.81,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/22/,pretrained_models/VGG11_CIFAR100.pth,4,9,500,1.0,39,0.5842511802911758,81.16,51.41,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/22/,pretrained_models/MobileNetV2_CIFAR100.pth,4,9,500,1.0,39,0.7494455814361572,72.72,51.82,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/23/,pretrained_models/VGG11_CIFAR100.pth,6,8,500,1.0,39,0.5308043479919433,82.6,50.8,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/23/,pretrained_models/MobileNetV2_CIFAR100.pth,6,8,500,1.0,39,0.6981712967157364,75.28,51.25,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/24/,pretrained_models/VGG11_CIFAR100.pth,5,4,500,1.0,39,0.5328557878732681,82.52,52.71,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/24/,pretrained_models/MobileNetV2_CIFAR100.pth,5,4,500,1.0,39,0.6693135887384415,75.68,52.11,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/25/,pretrained_models/VGG11_CIFAR100.pth,9,1,500,1.0,39,0.4806000620126724,84.08,58.91,True
