poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/0/,pretrained_models/ResNet18_CIFAR100.pth,7,3,500,1.0,39,0.6467195063829422,75.96,56.99,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/1/,pretrained_models/ResNet18_CIFAR100.pth,4,5,500,1.0,39,0.6938543349504471,75.8,54.68,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/10/,pretrained_models/ResNet18_CIFAR100.pth,5,1,500,1.0,39,0.7911538869142533,71.56,48.24,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/11/,pretrained_models/ResNet18_CIFAR100.pth,4,0,500,1.0,39,0.7023320585489273,74.92,54.03,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/12/,pretrained_models/ResNet18_CIFAR100.pth,9,2,500,1.0,39,0.5308154359459877,81.12,57.84,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/13/,pretrained_models/ResNet18_CIFAR100.pth,8,9,500,1.0,39,0.6012878641486168,78.96,56.7,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/14/,pretrained_models/ResNet18_CIFAR100.pth,8,4,500,1.0,39,0.6340960741043091,76.52,52.05,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/15/,pretrained_models/ResNet18_CIFAR100.pth,0,6,500,1.0,39,0.7151729732751846,73.76,51.49,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/16/,pretrained_models/ResNet18_CIFAR100.pth,4,3,500,1.0,39,0.6600157737731933,76.12,57.14,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/17/,pretrained_models/ResNet18_CIFAR100.pth,8,4,500,1.0,39,0.6446761041879654,74.8,52.41,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/18/,pretrained_models/ResNet18_CIFAR100.pth,4,0,500,1.0,39,0.7053985923528672,74.92,53.95,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/19/,pretrained_models/ResNet18_CIFAR100.pth,8,3,500,1.0,39,0.6078205823898315,77.68,54.78,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/2/,pretrained_models/ResNet18_CIFAR100.pth,5,3,500,1.0,39,0.624077782034874,76.92,58.51,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/20/,pretrained_models/ResNet18_CIFAR100.pth,3,0,500,1.0,39,0.7270295113325119,74.4,53.61,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/21/,pretrained_models/ResNet18_CIFAR100.pth,0,6,500,1.0,39,0.6936498403549194,74.52,51.72,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/22/,pretrained_models/ResNet18_CIFAR100.pth,4,9,500,1.0,39,0.7602142602205276,72.48,51.03,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/23/,pretrained_models/ResNet18_CIFAR100.pth,6,8,500,1.0,39,0.6985252261161804,73.36,51.35,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/24/,pretrained_models/ResNet18_CIFAR100.pth,5,4,500,1.0,39,0.6949426293373108,74.48,53.26,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/25/,pretrained_models/ResNet18_CIFAR100.pth,9,1,500,1.0,39,0.5981672033667564,79.6,61.61,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/26/,pretrained_models/ResNet18_CIFAR100.pth,7,4,500,1.0,39,0.6546162515878677,75.2,55.21,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/27/,pretrained_models/ResNet18_CIFAR100.pth,4,9,500,1.0,39,0.7362341850996017,73.72,51.23,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/28/,pretrained_models/ResNet18_CIFAR100.pth,9,7,500,1.0,39,0.5639690831303596,80.88,55.7,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/29/,pretrained_models/ResNet18_CIFAR100.pth,7,6,500,1.0,39,0.724119457602501,72.8,51.43,True
