poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/0/,pretrained_models/ResNet18_CIFAR100.pth,1,0,25,0.03529411926865578,39,0.6184816705553156,78.74177631578948,69.8016826923077,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/1/,pretrained_models/ResNet18_CIFAR100.pth,7,9,25,0.03529411926865578,39,0.6170261847345453,78.28947368421052,69.81169871794872,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/10/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,0.03529411926865578,39,0.6146695174668965,79.02960526315789,69.75160256410257,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/11/,pretrained_models/ResNet18_CIFAR100.pth,8,3,25,0.03529411926865578,39,0.6096400618553162,78.6595394736842,70.0420673076923,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/12/,pretrained_models/ResNet18_CIFAR100.pth,7,8,25,0.03529411926865578,39,0.6161760546659169,79.11184210526316,69.87179487179488,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/0/,pretrained_models/ResNet18_CIFAR100.pth,1,0,25,0.03529411926865578,39,0.6156520702336964,78.41282894736842,69.81169871794872,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/1/,pretrained_models/ResNet18_CIFAR100.pth,7,9,25,0.03529411926865578,39,0.6171727902010867,78.00164473684211,69.74158653846153,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/10/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,0.03529411926865578,39,0.6194428942705456,79.1529605263158,70.03205128205128,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/11/,pretrained_models/ResNet18_CIFAR100.pth,8,3,25,0.03529411926865578,39,0.6199133176552621,78.94736842105263,70.2323717948718,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/12/,pretrained_models/ResNet18_CIFAR100.pth,7,8,25,0.03529411926865578,39,0.6119954601714486,78.49506578947368,70.07211538461539,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/13/,pretrained_models/ResNet18_CIFAR100.pth,0,4,25,0.03529411926865578,39,0.6113935834483096,78.45394736842105,69.91185897435898,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/14/,pretrained_models/ResNet18_CIFAR100.pth,7,8,25,0.03529411926865578,39,0.6192626921754134,77.83717105263158,69.97195512820512,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/15/,pretrained_models/ResNet18_CIFAR100.pth,8,1,25,0.03529411926865578,39,0.6153313784222854,78.33059210526316,69.921875,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/16/,pretrained_models/ResNet18_CIFAR100.pth,6,2,25,0.03529411926865578,39,0.6183228524107682,78.86513157894737,69.68149038461539,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/17/,pretrained_models/ResNet18_CIFAR100.pth,7,2,25,0.03529411926865578,39,0.6132343882008603,78.86513157894737,69.8818108974359,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/18/,pretrained_models/ResNet18_CIFAR100.pth,1,6,25,0.03529411926865578,39,0.6212444681870309,78.16611842105263,70.02203525641026,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/19/,pretrained_models/ResNet18_CIFAR100.pth,4,5,25,0.03529411926865578,39,0.6260536689507333,78.57730263157895,69.93189102564102,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/2/,pretrained_models/ResNet18_CIFAR100.pth,4,8,25,0.03529411926865578,39,0.6195121046743894,78.33059210526316,70.0020032051282,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/20/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,0.03529411926865578,39,0.6175344037382227,78.78289473684211,69.8417467948718,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/21/,pretrained_models/ResNet18_CIFAR100.pth,2,7,25,0.03529411926865578,39,0.6136917252289621,79.11184210526316,70.06209935897436,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/22/,pretrained_models/ResNet18_CIFAR100.pth,7,5,25,0.03529411926865578,39,0.6224153935909271,77.63157894736842,69.921875,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/24/,pretrained_models/ResNet18_CIFAR100.pth,8,1,25,0.03529411926865578,39,0.6231548284229479,78.16611842105263,70.03205128205128,True
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/25/,pretrained_models/ResNet18_CIFAR100.pth,3,6,25,0.03529411926865578,39,0.6189411360966531,78.28947368421052,69.87179487179488,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/26/,pretrained_models/ResNet18_CIFAR100.pth,7,1,25,0.03529411926865578,39,0.6228207945823669,79.07072368421052,70.11217948717949,False
poison_examples/cifar10-transfer/clbd_poisons/num_poisons=25/27/,pretrained_models/ResNet18_CIFAR100.pth,3,1,25,0.03529411926865578,39,0.6174384135948984,78.78289473684211,70.12219551282051,False
